panel,scenario_id,K,sigma,rho,regime,metric,value,theoretical_value,mcse
A/B,S2-125,72.0,0.01,0.5,all_equal,regret_mean,0.0,,0.0
A/B,S2-125,72.0,0.01,0.5,all_equal,p_select_best,1.0,,1.0
A/B,S2-125,72.0,0.01,0.5,all_equal,reporting_bias_mean,-0.0002215722260959,,0.000100191120647
A/B,S2-125,72.0,0.01,0.5,all_equal,winner_instability,0.9838,,0.9838
A/B,S2-125,72.0,0.01,0.5,all_equal,one_se_regret_mean,0.0,,
A/B,S2-125,72.0,0.01,0.5,all_equal,oracle_bound_ratio,0.5727306929201411,,0.5727306929201411
A/B,S2-129,72.0,0.01,0.9,all_equal,oracle_optimism_mean,0.0076535671965799,0.0292460804861644,9.603905750380386e-05
A/B,S2-129,72.0,0.01,0.9,all_equal,regret_mean,0.0,,0.0
A/B,S2-129,72.0,0.01,0.9,all_equal,p_select_best,1.0,,1.0
A/B,S2-129,72.0,0.01,0.9,all_equal,reporting_bias_mean,6.899033300691889e-05,,9.999712089173972e-05
A/B,S2-129,72.0,0.01,0.9,all_equal,winner_instability,0.9828,,0.9828
A/B,S2-129,72.0,0.01,0.9,all_equal,one_se_regret_mean,0.0,,
A/B,S2-129,72.0,0.01,0.9,all_equal,oracle_bound_ratio,0.2616954842957718,,0.2616954842957718
A/B,S2-133,72.0,0.03,0.0,all_equal,oracle_optimism_mean,0.0713947781489237,0.0877382414584934,0.0001313745782736
A/B,S2-133,72.0,0.03,0.0,all_equal,regret_mean,0.0,,0.0
A/B,S2-133,72.0,0.03,0.0,all_equal,p_select_best,1.0,,1.0
A/B,S2-133,72.0,0.03,0.0,all_equal,reporting_bias_mean,0.0002419710032323,,0.0003012786277789
A/B,S2-133,72.0,0.03,0.0,all_equal,winner_instability,0.9833,,0.9833
A/B,S2-133,72.0,0.03,0.0,all_equal,one_se_regret_mean,0.0,,
A/B,S2-133,72.0,0.03,0.0,all_equal,oracle_bound_ratio,0.8137247449015568,,0.8137247449015568
A/B,S2-137,72.0,0.03,0.5,all_equal,oracle_optimism_mean,0.0507322020569674,0.0877382414584934,0.0002300416338575
A/B,S2-137,72.0,0.03,0.5,all_equal,regret_mean,0.0,,0.0
A/B,S2-137,72.0,0.03,0.5,all_equal,p_select_best,1.0,,1.0
A/B,S2-137,72.0,0.03,0.5,all_equal,reporting_bias_mean,0.0002411112058706,,0.0002994724257712
A/B,S2-137,72.0,0.03,0.5,all_equal,winner_instability,0.9822,,0.9822
A/B,S2-137,72.0,0.03,0.5,all_equal,one_se_regret_mean,0.0,,
A/B,S2-137,72.0,0.03,0.5,all_equal,oracle_bound_ratio,0.5782222348389265,,0.5782222348389265
A/B,S2-141,72.0,0.03,0.9,all_equal,oracle_optimism_mean,0.0226314660414371,0.0877382414584934,0.0002859126105359
A/B,S2-141,72.0,0.03,0.9,all_equal,regret_mean,0.0,,0.0
A/B,S2-141,72.0,0.03,0.9,all_equal,p_select_best,1.0,,1.0
A/B,S2-141,72.0,0.03,0.9,all_equal,reporting_bias_mean,-4.5234349393882656e-05,,0.0002964691452118
A/B,S2-141,72.0,0.03,0.9,all_equal,winner_instability,0.9828,,0.9828
A/B,S2-141,72.0,0.03,0.9,all_equal,one_se_regret_mean,0.0,,
A/B,S2-141,72.0,0.03,0.9,all_equal,oracle_bound_ratio,0.2579430094019321,,0.2579430094019321
A/B,S2-145,216.0,0.005,0.0,all_equal,oracle_optimism_mean,0.0138601639259386,0.0163940208729953,1.971460621645155e-05
A/B,S2-145,216.0,0.005,0.0,all_equal,regret_mean,0.0,,0.0
A/B,S2-145,216.0,0.005,0.0,all_equal,p_select_best,1.0,,1.0
A/B,S2-145,216.0,0.005,0.0,all_equal,reporting_bias_mean,-4.7357692526070385e-05,,4.990078283592231e-05
A/B,S2-145,216.0,0.005,0.0,all_equal,winner_instability,0.9934,,0.9934
A/B,S2-145,216.0,0.005,0.0,all_equal,one_se_regret_mean,0.0,,
A/B,S2-145,216.0,0.005,0.0,all_equal,oracle_bound_ratio,0.8454401780571975,,0.8454401780571975
A/B,S2-149,216.0,0.005,0.5,all_equal,oracle_optimism_mean,0.009813014916644,0.0163940208729953,3.8236176485212544e-05
A/B,S2-149,216.0,0.005,0.5,all_equal,regret_mean,0.0,,0.0
A/B,S2-149,216.0,0.005,0.5,all_equal,p_select_best,1.0,,1.0
A/B,S2-149,216.0,0.005,0.5,all_equal,reporting_bias_mean,1.782393595593303e-05,,5.029278996280467e-05
A/B,S2-149,216.0,0.005,0.5,all_equal,winner_instability,0.9937,,0.9937
A/B,S2-149,216.0,0.005,0.5,all_equal,one_se_regret_mean,0.0,,
A/B,S2-149,216.0,0.005,0.5,all_equal,oracle_bound_ratio,0.5985727963057702,,0.5985727963057702
A/B,S2-153,216.0,0.005,0.9,all_equal,oracle_optimism_mean,0.0043743339572606,0.0163940208729953,4.782313176276283e-05
A/B,S2-153,216.0,0.005,0.9,all_equal,regret_mean,0.0,,0.0
A/B,S2-153,216.0,0.005,0.9,all_equal,p_select_best,1.0,,1.0
A/B,S2-153,216.0,0.005,0.9,all_equal,reporting_bias_mean,-1.182451505718585e-05,,5.006709410662024e-05
A/B,S2-153,216.0,0.005,0.9,all_equal,winner_instability,0.9933,,0.9933
A/B,S2-153,216.0,0.005,0.9,all_equal,one_se_regret_mean,0.0,,
A/B,S2-153,216.0,0.005,0.9,all_equal,oracle_bound_ratio,0.2668249596086648,,0.2668249596086648
A/B,S2-157,216.0,0.01,0.0,all_equal,oracle_optimism_mean,0.0277332586062092,0.0327880417459907,3.939547500086846e-05
A/B,S2-157,216.0,0.01,0.0,all_equal,regret_mean,0.0,,0.0
A/B,S2-157,216.0,0.01,0.0,all_equal,p_select_best,1.0,,1.0
